¿Cuál de estos países africanos no tiene costa?&5b9ab89c0d3657113c8625d0&Todas tienen costa,Mauritania,Senegal,Gambia
¿Dónde se encuentra Baiona?&5b9ab89c0d3657113c8625d0&Pontevedra,Francia,País Vasco,Andalucia
¿Cuál es la capital de Angola?&5b9ab89c0d3657113c8625d0&Luanda,Kinasasa,Zuberoa,Brazzabille
¿Cuál es el idioma oficial de Uruguay?&5b9ab89c0d3657113c8625d0&El español,El uruguayo,El uruguayo y el español,El español y el guaraní
¿En qué país está la Laguna Verde?&5b9ab89c0d3657113c8625d0&Bolivia,Chile,Argentina,Todas son correctas
Una península es una parte del territorio...&5b9ab89c0d3657113c8625d0&Rodeada de agua menos por una parte,Muy montañosa,Rodeada totalmente de agua,Ninguna es correcta
¿Cuál de estos países africanos NO tiene costa ?&5b9ab89c0d3657113c8625d0&Chad,Sudáfrica,Túnez,Marruecos
¿Cuál es la capital de la república de Macedonia?&5b9ab89c0d3657113c8625d0&Skopje,La Valeta,Chisinau,Sarajevo
¿Cuál es el plato típico de Mallorca?&5b9ab89c0d3657113c8625d0&Tumbet,Paella,Marisco,Merchines
¿Cuál es la religión mayoritaria en China?&5b9ab89c0d3657113c8625d0&Budismo,Taoísmo,Confucianismo,Cristianismo
¿En qué continente queda Chile?&5b9ab89c0d3657113c8625d0&América,Asia,Europa,Africa
¿Qué país NO se encuentra en Asia?&5b9ab89c0d3657113c8625d0&Comores,Indonesia,Sri Lanka,Brunei
¿Qué país africano fue antigua colonia española?&5b9ab89c0d3657113c8625d0&Guinea Ecuatorial,R.D. Congo,Sudáfrica,Egipto
¿A qué país tienes que ir para visitar el turístico pueblo costero de Sidi Bou Said?&5b9ab89c0d3657113c8625d0&Túnez,Marruecos,Egipto,Libia
¿En qué provincia está Valdelinares el pueblo más alto de España?&5b9ab89c0d3657113c8625d0&Teruel,Zaragoza,Granada,Gran Canaria
¿Dónde está el desierto del Gobi?&5b9ab89c0d3657113c8625d0&Al sur de Mongolia,Al sur de China,Al sur de Japón,Ninguna es correcta
¿Dónde está Pernambuco?&5b9ab89c0d3657113c8625d0&En Brasil,En Chile,En Sudáfrica,En India
¿Cuál es el edificio más famoso en Dubai?&5b9ab89c0d3657113c8625d0&Burjal Arab,Crystal Island,Torre Eiffel,Crosgrove
¿En qué provincia vasca se sitúa el pueblo de Soraluze?&5b9ab89c0d3657113c8625d0&Gipuzkoa,Iparralde,Álava,Vizkaia
¿Cuál es la capital de Libia?&5b9ab89c0d3657113c8625d0&Trípoli,Beirut,El Cairo,Riad
¿En qué continente está la India?&5b9ab89c0d3657113c8625d0&Asia,Oceanía,América,Antártida
¿Cuál es la capital de Luxemburgo?&5b9ab89c0d3657113c8625d0&Luxemburgo,Berlín,Berna,La Valeta
¿Cuál es la capital de Argelia?&5b9ab89c0d3657113c8625d0&Argel,Argela,Arabia,Colombo
¿En qué pais situarías a la bahia Hudson?&5b9ab89c0d3657113c8625d0&Canadá,Estados Unidos,Irlanda,Australia
¿Dónde está la ciudad de Mostar?&5b9ab89c0d3657113c8625d0&Bosnia y Herzegovina,Serbia,Montenegro,Croacia
¿En qué continente/s se encuentra Turquía?&5b9ab89c0d3657113c8625d0&Asia y Europa,América,África y Europa,Oceania
¿De dónde eran los vikingos?&5b9ab89c0d3657113c8625d0&Noruega,Suiza,U.S.A,Italia
¿Cuál es el país más pequeño de Asia ?&5b9ab89c0d3657113c8625d0&Maldivas,Nauru,Laos,Japón
¿Cuál de las grandes montañas ha sido escalada más veces?&5b9ab89c0d3657113c8625d0&El Everest,El K2,El Annapurna I,El Annapurna II
¿Dónde se encuentran las Lagunas de Ruidera?&5b9ab89c0d3657113c8625d0&Castilla la Mancha,Comunidad Valenciana,Galicia,Castilla y Leon
¿Con cuántos países limita la República Argentina?&5b9ab89c0d3657113c8625d0&5,6,4,3
¿En qué ciudad de Andalucía es típico el carnaval?&5b9ab89c0d3657113c8625d0&Cádiz,Sevilla,Granada,Málaga
¿A qué archipiélago pertenece la isla de Gran Canaria?&5b9ab89c0d3657113c8625d0&Canario,Chinijo,Isleño,Atlántico
¿En qué comunidad autónoma se encuentra la población de Torrijos?&5b9ab89c0d3657113c8625d0&Toledo,Cádiz,Burgos,Lleida
¿En qué comunidad autónoma se encuentra el río Guadarrama?&5b9ab89c0d3657113c8625d0&En la comunidad de Madrid,Andalucía,Zaragoza,Aragón
¿Dónde se encuentra la cordillera de Los Andes?&5b9ab89c0d3657113c8625d0&América,Europa,Asia,Oceania
¿En qué continente se encuentra el país México?&5b9ab89c0d3657113c8625d0&América,Europa,Asia,Oceania
¿En qué ciudad española se celebra todos los años una historia de amor con final trágico?&5b9ab89c0d3657113c8625d0&Teruel,Las Palmas,Ceuta,Sevilla
¿Cuál es la capital del Principado de Andorra?&5b9ab89c0d3657113c8625d0&Andorra la Vella,Santa Coloma,Sant Julia de Loria,Escaldes Engordany
¿Dónde se encuentra la ciudad de Bahía Blanca?&5b9ab89c0d3657113c8625d0&Argentina,Uruguay,Chile,Brasil
¿Dónde nació el Hip-Hop?&5b9ab89c0d3657113c8625d0&Nueva York,San Francisco,Chicago,Philadelphia
¿Con qué otro nombre se conoce al mar de las Antillas?&5b9ab89c0d3657113c8625d0&Mar Caribe,Mar de Chukotka,Mar de Cortés,Golfo de México
¿Qué río pasa por el País Vasco?&5b9ab89c0d3657113c8625d0&Ebro,Tajo,Guadiana,Guadalquivir
¿Dónde están las torres Petronas?&5b9ab89c0d3657113c8625d0&En Malasia,En Indonesia,En Singapur,En Tailandia
¿Cuál es la capital de Japón?&5b9ab89c0d3657113c8625d0&Tokio,Kyoto,Pekin,Ninguna es correcta
¿Cuál de las Islas Canarias es la más grande?&5b9ab89c0d3657113c8625d0&Tenerife,Gran Canaria,Fuerteventura,La Palma
¿Cuál es la capital de Kosovo?&5b9ab89c0d3657113c8625d0&Prístina,Kosovo,Tenerife,Malí
¿En qué país europeo está la ciudad de Lyon?&5b9ab89c0d3657113c8625d0&En Francia,En Bélgica,En Luxemburgo,En Italia
¿Dónde creció Sigmund Freud ?&5b9ab89c0d3657113c8625d0&Viena,París,Munich,Kiev
¿A qué país pertenecen las islas Azores?&5b9ab89c0d3657113c8625d0&Portugal,España,Francia,Inglaterra
¿A qué país pertenece la Camorra?&5b9ab89c0d3657113c8625d0&Italia,España,Francia,Grecia
¿Cuál es la capital de Islandia?&5b9ab89c0d3657113c8625d0&Reikjavik,Riga,Dublín,Minsk
¿En qué ciudad esta La Alhambra?&5b9ab89c0d3657113c8625d0&Granada,Málaga,Córdoba,Cuenca
¿Cuál es la capital de Belice ?&5b9ab89c0d3657113c8625d0&Belmopan,Kingston,Managua,Saint John
¿Cuál es la religión mayoritaria en la India?&5b9ab89c0d3657113c8625d0&Hinduismo,Budista,Sijismo,Jainismo
¿Dónde se encuentra la Comisión y el Consejo Europeo?&5b9ab89c0d3657113c8625d0&Bruselas,Estrasburgo,Londres,Luxemburgo
¿Qué es Andorra?&5b9ab89c0d3657113c8625d0&Un país,Una comida,Un animal,Una religión
¿Cuántas estrellas tiene la bandera de China?&5b9ab89c0d3657113c8625d0&5,Ninguna es correcta,6,0
¿Dónde se encuentra el monte Vesubio?&5b9ab89c0d3657113c8625d0&Italia,España,Mongolia,México
¿Cuál de estos códigos internacionales pertenece a Argentina?&5b9ab89c0d3657113c8625d0&AR,AG,AI,AN
¿A qué país pertenece el código internacional PA?&5b9ab89c0d3657113c8625d0&Panamá,Portugal,Palestina,Palaos
¿Cuándo es verano en el hemisferio sur?&5b9ab89c0d3657113c8625d0&De diciembre a marzo,De marzo a junio,De junio a septiembre,De septiembre a diciembre
¿Dónde están las líneas de Nazca?&5b9ab89c0d3657113c8625d0&En Perú,En Chile,En Colombia,En Paraguay
¿Cuál es el segundo municipio más poblado de Cataluña?&5b9ab89c0d3657113c8625d0&Hospitalet de Llobregat,Tarragona,Girona,Lleida
¿Cuál es la capital de Hawai?&5b9ab89c0d3657113c8625d0&Honolulu,Paris,Toronto,Ecuador
¿Cuál de las siguientes ciudades es la capital autonómica de Extremadura?&5b9ab89c0d3657113c8625d0&Mérida,Badajoz,Zafra,Cáceres
¿Qué montaña es la más alta de la Sierra de Gredos (Ávila)?&5b9ab89c0d3657113c8625d0&Almanzor,Veleta,Aneto,Montcabrer
¿Cómo se llama el río que pasa por Salamanca?&5b9ab89c0d3657113c8625d0&Tormes,Duero,Tajo,Pisuerga
¿Dónde se encuentra Manresa ?&5b9ab89c0d3657113c8625d0&Centro de Cataluña,Sur de Cataluña,Norte de Cataluña,Oeste de Cataluña
¿Dónde se come haggis?&5b9ab89c0d3657113c8625d0&En Escocia,En Irlanda del Norte,En Noruega,En el sur de Holanda
¿Dónde se encuentra el barrio de Greenwich?&5b9ab89c0d3657113c8625d0&Londres,Edimburgo,Bruselas,Kingston
¿Cuantas islas tienen las Islas Canarias y cuantos islotes?&5b9ab89c0d3657113c8625d0&7 islas y 6 islotes,7 islas y 5 islotes,6 islas y 6 islotes,7 islas y 7 islotes
¿De cuántas islas consta el archipiélago canario?&5b9ab89c0d3657113c8625d0&9,5,8,7
¿Cuál es la cuidad gallega más poblada?&5b9ab89c0d3657113c8625d0&Vigo,A Coruña,Santiago de Compostela,Ourense
¿Dónde están las líneas de Nazca?&5b9ab89c0d3657113c8625d0&En Perú,En Chile,En Colombia,En Paraguay
¿El español es el idioma oficial en todos los países centroamericanos menos en uno. ¿Cuál?&5b9ab89c0d3657113c8625d0&Belice,Panamá,Costa Rica,En Salvador
¿A qué provincia española pertenece la isla de Tabarca?&5b9ab89c0d3657113c8625d0&Alicante,Barcelona,Málaga,Pontevedra
13El Barrio de Albaicín está situado en...&5b9ab89c0d3657113c8625d0&Granada,Córdoba,Sevilla,Cádiz
¿Cuál es la capital del País Vasco?&5b9ab89c0d3657113c8625d0&Victoria,Bilbao,San Sebastian,No tiene
¿Dónde se encuentra la famosa Puerta de Madrid?&5b9ab89c0d3657113c8625d0&Alcalá de Henares,Aranjuez,Madrid,San Lorenzo del Escorial
¿Cuál es el barrio más grande de Madrid?&5b9ab89c0d3657113c8625d0&Vallecas,Carabanchel,Villaverde,Salamanca
¿De qué país es el panda el animal nacional ?&5b9ab89c0d3657113c8625d0&China,Canadá,Tanzania,Australia
¿Cuál es el único país latinoamericano que tiene 2 lenguas oficiales?&5b9ab89c0d3657113c8625d0&Paraguay,Brasil,Argentina,Venezuela
¿De qué origen es el bolero?&5b9ab89c0d3657113c8625d0&Cuba,México,Puerto Rico,Panamá
¿Cúal es la capital de Alemania?&5b9ab89c0d3657113c8625d0&Berlín,Múnich,Frankfurt,Dublin
¿Cuál de las siguientes ciudades sudafricanas es la más poblada?&5b9ab89c0d3657113c8625d0&Johannesburgo,Ciudad del Cabo,Pretoria,East London
¿Dónde vivía Pablo Escobar?&5b9ab89c0d3657113c8625d0&Colombia,Ecuador,Argentina,España
¿A qué ciudad costera europea se la conoce como la Perla del Adriático?&5b9ab89c0d3657113c8625d0&Dubrovnik,Nápoles,Barcelona,Atenas
¿Dónde se celebra el Oktoberfest?&5b9ab89c0d3657113c8625d0&Alemania,Rusia,Ucrania,Reino Unido
¿De que tiene forma Italia?&5b9ab89c0d3657113c8625d0&Bota,Gorro,Submarino,Nube
¿En qué provincia desemboca el Ebro en el Mediterráneo ?&5b9ab89c0d3657113c8625d0&Tarragona,Castellón,Barcelona,Zaragoza
¿Cuál es la comunidad autónoma más grande de España?&5b9ab89c0d3657113c8625d0&Andalucía,Comunidad de Madrid,Extremadura,País Vasco
¿Cuál es el océano más profundo ?&5b9ab89c0d3657113c8625d0&Pacífico,Atlántico,Índico,Ártico
¿Cuál es la capital de la Antártida?&5b9ab89c0d3657113c8625d0&No tiene,Oslo,Sihglandia,Mercus
¿Dónde está la montaña de Jade ?&5b9ab89c0d3657113c8625d0&Taiwan,China,Corea del Sur,Singapur
¿Dónde se encuentra el Cabo de Gata ?&5b9ab89c0d3657113c8625d0&En Almería,En Cádiz,En Alicante,En Huelva
¿Con cuál de las siguientes provincias no limita la Comunidad de Madrid?&5b9ab89c0d3657113c8625d0&Valladolid,Toledo,Cuenca,Segovia
¿Cuál es la capital de Andalucía?&5b9ab89c0d3657113c8625d0&Sevilla,Córdoba,Cádiz,Málaga
¿En qué país hay mayor número de budistas?&5b9ab89c0d3657113c8625d0&China,Japón,Nepal,India
¿De dónde es tradicional la paella?&5b9ab89c0d3657113c8625d0&Comunidad Valenciana,Cataluña,Andalucía,País Vasco
¿Dónde hay mayor número de habitantes?&5b9ab89c0d3657113c8625d0&China,Estados Unidos,Oceanía,Rusia
¿De qué estado mexicano es originaria el Tequila?&5b9ab89c0d3657113c8625d0&Jalisco,Guanajuato,Nayarit,Michoacán
¿Cuál es el pico más alto de África?&5b9ab89c0d3657113c8625d0&Kilimanjaro,Mckinley,K2,Monte Perdido
